"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"遍历 JSON 中所有数据行，正反例走不同断言路径","29062","test_login_data_driven","tests","2026-07-06","broken","2026-07-06","TestLoginDataDriven","test_login_data_driven","",""
"添加 1 个后移除，徽标应归零","7800","test_08_remove_item","tests","2026-07-06","passed","2026-07-06","TestInventory","test_inventory","",""
"反例：用户名为空，显示必填提示","6930","test_04_login_empty_username","tests","2026-07-06","passed","2026-07-06","TestLogin","test_login","",""
"商品列表页应加载 6 个商品","5653","test_01_product_list_loaded","tests","2026-07-06","passed","2026-07-06","TestInventory","test_inventory","",""
"反例：被锁定的用户，显示锁定错误","6233","test_02_login_locked_out","tests","2026-07-06","passed","2026-07-06","TestLogin","test_login","",""
"反例：密码为空，显示必填提示","7122","test_05_login_empty_password","tests","2026-07-06","failed","2026-07-06","TestLogin","test_login","",""
"总价 = 商品小计 + 税","6570","test_03_total_correct","tests","2026-07-06","passed","2026-07-06","TestCheckout","test_checkout","",""
"正例：正确的用户名密码，应跳转到商品列表页","8097","test_01_login_success","tests","2026-07-06","passed","2026-07-06","TestLogin","test_login","",""
"反例：密码为空，显示必填提示","5755","test_05_login_empty_password","","2026-07-06","failed","2026-07-06","","","",""
"Continue Shopping 应返回商品列表页","5718","test_03_continue_shopping","tests","2026-07-06","passed","2026-07-06","TestCart","test_cart","",""
"","10266","test_04_item_name_matches","tests","2026-07-06","passed","2026-07-06","TestCart","test_cart","",""
"添加 3 个商品到购物车，徽标应显示 3","7449","test_07_add_multiple_items","tests","2026-07-06","passed","2026-07-06","TestInventory","test_inventory","",""
"排序：价格 低→高","6015","test_04_sort_by_price_asc","tests","2026-07-06","passed","2026-07-06","TestInventory","test_inventory","",""
"排序：价格 高→低","9643","test_05_sort_by_price_desc","tests","2026-07-06","passed","2026-07-06","TestInventory","test_inventory","",""
"","18552","test_04_missing_last_name","tests","2026-07-06","passed","2026-07-06","TestCheckout","test_checkout","",""
"添加 1 个商品到购物车，徽标应显示 1","11793","test_06_add_single_item","tests","2026-07-06","passed","2026-07-06","TestInventory","test_inventory","",""
"排序：名称 A→Z","6790","test_02_sort_by_name_asc","tests","2026-07-06","passed","2026-07-06","TestInventory","test_inventory","",""
"反例：密码为空，显示必填提示","5729","test_05_login_empty_password","","2026-07-06","failed","2026-07-06","","","",""
"缺 First Name 应报错","6827","test_02_missing_first_name","tests","2026-07-06","passed","2026-07-06","TestCheckout","test_checkout","",""
"排序：名称 Z→A","7792","test_03_sort_by_name_desc","tests","2026-07-06","passed","2026-07-06","TestInventory","test_inventory","",""
"添加 1 个后移除，购物车应空","8537","test_02_remove_item","tests","2026-07-06","passed","2026-07-06","TestCart","test_cart","",""
"反例：密码错误，显示密码不匹配","13913","test_03_login_wrong_password","tests","2026-07-06","passed","2026-07-06","TestLogin","test_login","",""
"完整结算流程：填信息 → 确认 → 下单成功","12266","test_01_checkout_success","tests","2026-07-06","passed","2026-07-06","TestCheckout","test_checkout","",""
"添加 2 个商品，购物车应有 2 个","6359","test_01_cart_has_items","tests","2026-07-06","passed","2026-07-06","TestCart","test_cart","",""
"","7342","test_05_missing_PostalCode","tests","2026-07-06","passed","2026-07-06","TestCheckout","test_checkout","",""
